ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija
"MB - CENTER, VOŠNJAKOVA 22",Prodaja,Stanovanje,dvosobno,1908,,46.4,72000.0,"INSA d.o.o., Europark Maribor"
"MEDVODE, BALKON, SONČNO IN SVETLO",Prodaja,Stanovanje,dvosobno,1990,,62.45,155000.0,"STAN nepremičnine d.o.o., Ljubljana"
MORAVSKE TOPLICE,Prodaja,Stanovanje,trisobno,2018,73.0,73.7,169900.0,ABC nepremičnine d.o.o.
"MORAVSKE TOPLICE, OD 128. 000 NAPREJ +DDV",Prodaja,Stanovanje,trisobno,2018,,123.0,128000.0,Recal Media d.o.o.
MOSTEC,Prodaja,Stanovanje,trisobno,2002,,91.7,374999.0,MESTO NEPREMIČNIN d.o.o.
"MOŠE, PRI SMLEDNIKU MEDVODE",Prodaja,Hiša,Dvojček,2019,406.0,120.0,140000.0,Projekti MV d.o.o.
MURGLE,Prodaja,Stanovanje,trisobno,2020,7.0,99.96,450675.0,"Stoja trade, d.o.o., Ljubljana"
MURGLE,Prodaja,Stanovanje,petsobno,2020,1.0,153.6,661893.0,"Stoja trade, d.o.o., Ljubljana"
MURGLE,Prodaja,Stanovanje,štirisobno,2020,1.0,176.69,775700.0,"Stoja trade, d.o.o., Ljubljana"
MURGLE,Prodaja,Stanovanje,štirisobno,2020,177.0,288.83,588314.0,"Stoja trade, d.o.o., Ljubljana"
"MURGLE, LJ.",Prodaja,Stanovanje,trisobno,2020,,90.18,450467.0,IMI Stil d.o.o.
"MURGLE, LJ.",Prodaja,Stanovanje,štirisobno,2020,,97.98,504206.0,IMI Stil d.o.o.
"MURSKA SOBOTA, NA LENDAVSKI ULICI 19",Prodaja,Stanovanje,dvosobno,1983,,67.5,65900.0,Dom M5 d.o.o.
NOVA GORICA,Prodaja,Poslovni prostor,Pisarna,2011,,1083.24,750.0,"DUTB, d.d."
NOVA GORICA,Prodaja,Poslovni prostor,Pisarna,2011,,4033.5,2700000.0,"DUTB, d.d."
NOVO MESTO,Prodaja,Stanovanje,štirisobno,2019,,90.9,173700.0,Casa 69 d.o.o.
NOVO MESTO,Prodaja,Poslovni prostor,Drugo,2012,,835.0,1120000.0,ABC nepremičnine d.o.o.
OREHOVSKI VRH,Prodaja,Hiša,Samostojna,1807,13421.0,205.0,145000.0,EVANA posredovanje d.o.o.
PEKRE,Prodaja,Počitniški objekt,Apartma,2010,2205.0,3919.5,1490000.0,"DUTB, d.d."
"PIRAN, BLIŽINA MESTA IN PLAŽE",Prodaja,Hiša,Vrstna,1900,84.0,160.0,299000.0,"Svitan d.o.o., PE nepremičnine"
"PIRAN, TRG 1. MAJA",Prodaja,Stanovanje,štirisobno,1800,,115.4,240000.0,Obala nepremičnine d.o.o.
PIVOLA,Prodaja,Hiša,Dvojček,2019,251.0,125.0,159618.1,Atrium nepremičnine d.o.o.
"PLANINA NA POHORJU, ROGLA",Prodaja,Hiša,Samostojna,2008,186.0,81.8,119000.0,Premium nepremičnine d.o.o.
PODČETRTEK,Prodaja,Hiša,Samostojna,1973,1628.0,402.0,170000.0,Zasebna ponudba
POLJČANE,Prodaja,Stanovanje,dvoinpolsobno,1910,,97.3,22900.0,"Agenti nepremičninsko posredovanje, d.o.o."
"POLJE PRI VODICAH, MODERNO ZASNOVANA",Prodaja,Hiša,Samostojna,2013,502.0,173.2,480000.0,"STAN nepremičnine d.o.o., Ljubljana"
"PORTOROŽ, PENTHOUSE Z BAZENOM V PORTOROŽU",Prodaja,Stanovanje,trisobno,2008,,184.7,539000.0,ABC nepremičnine d.o.o.
"PORTOROŽ, VILA - NOVOGRADNJA",Prodaja,Hiša,Samostojna,2017,780.0,399.0,1290000.0,Vila Portorož d.o.o.
"PREVOJE PRI ŠENTVIDU, LUKOVICA - DOMŽALE",Prodaja,Stanovanje,enoinpolsobno,2001,,41.0,93000.0,Premium nepremičnine d.o.o.
"PUŠČE, VELIKE LAŠČE",Prodaja,Hiša,Dvojček,2010,208.0,155.0,155000.0,Premium nepremičnine d.o.o.
"RADIZEL, KOLMANOVA ULICA",Prodaja,Hiša,Samostojna,1969,968.0,245.0,189900.0,"INSA d.o.o., Europark Maribor"
"RAKOVNIK, NOVO NASELJE",Prodaja,Hiša,Samostojna,2019,475.0,172.3,312613.74,"Iskra, d.o.o."
"RAKOVNIK, NOVO NASELJE",Prodaja,Hiša,Samostojna,2019,495.0,172.3,321271.04,"Iskra, d.o.o."
"RAKOVNIK, OB DOLENJSKI CESTI",Prodaja,Stanovanje,dvoinpolsobno,2019,38.0,69.0,229910.58,Magda - Bohinj d.o.o.
"RAKOVNIK, OB DOLENJSKI CESTI",Prodaja,Stanovanje,dvoinpolsobno,2019,,69.0,217819.59,Magda - Bohinj d.o.o.
RATEČE,Prodaja,Hiša,Samostojna,2006,954.0,214.0,440000.0,"DUTB, d.d."
"RAVNIK, MIRNA, ŠENTRUPERT",Prodaja,Vikend,Bivalen,1974,1826.0,64.0,56000.0,"Oridom nepremičnine, Ivan Orešnik s.p."
"RETEČE, DRUŽINSKO NASELJE",Prodaja,Hiša,Samostojna,2017,390.0,210.0,350000.0,Zasebna ponudba
"RIBNO, 2, 5 KM OD BLEJSKEGA JEZERA",Prodaja,Stanovanje,štirisobno,1971,219.0,157.0,198500.0,Makler Bled d.o.o.
