ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija 
"MEDVODE, CENTER",Prodaja,Stanovanje,dvosobno,1963,,51.0,119000.0,SKYNEP nepremičnine d.o.o.
"MEDVODE, CENTER",Prodaja,Stanovanje,trisobno,1968,,55.6,130000.0,Zasebna ponudba
"MEDVODE, CENTER, NAD REKO SORO",Prodaja,Stanovanje,dvosobno,1976,,64.0,155000.0,"Domek nepremičnine, Nataša Batinič s.p."
"MEDVODE, GORIČANE",Prodaja,Hiša,Samostojna,1995,646.0,291.0,395000.0,"Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o."
"MEDVODE, GORIČANE",Prodaja,Hiša,Samostojna,1915,944.0,533.0,280000.0,Oaza nepremičnine d.o.o.
"MEDVODE, KRŽIŠNIKOVA UL. 8",Prodaja,Stanovanje,dvosobno,1965,,52.4,130000.0,Zasebna ponudba
"MEDVODE, MODEREN OBJEKT",Prodaja,Hiša,Samostojna,2001,1565.0,280.8,690000.0,"STAN nepremičnine d.o.o., Ljubljana"
"MEDVODE, NASELJE PRESKA",Prodaja,Stanovanje,dvosobno,1978,,61.8,140000.0,Zasebna ponudba
"MEDVODE, NASELJE PRESKA",Prodaja,Stanovanje,trisobno,2019,,156.4,665000.0,Za - Inženiring d.o.o.
"MEDVODE, NASELJE PRESKA",Prodaja,Stanovanje,trisobno,2019,,165.2,699000.0,Za - Inženiring d.o.o.
"MEDVODE, NASELJE SVETJE",Prodaja,Hiša,Samostojna,1980,505.0,226.5,250000.0,Rojal invest d.o.o.
"MEDVODE, OB PREŠKI CESTI",Prodaja,Hiša,Samostojna,1970,752.0,220.0,250000.0,Arcimboldo d.o.o.
"MEDVODE, OKOLICA",Prodaja,Hiša,Dvojček,2019,350.0,155.0,209990.0,Oaza nepremičnine d.o.o.
"MEDVODE, OKOLICA MEDVOD, 2 KM IZVEN",Prodaja,Hiša,Samostojna,1983,459.0,265.0,249000.0,"Lucia tim d.o.o., PE Nepremičnine"
"MEDVODE, PIRNIČE - VERJE",Prodaja,Stanovanje,trisobno,2007,70.0,62.5,175000.0,Exedra nepremičnine - Dragan Dušanić s.p.
"MEDVODE, PRESKA",Prodaja,Stanovanje,enosobno,1978,19.0,37.2,114990.0,KREATIVDOM d.o.o.
"MEDVODE, PRESKA",Prodaja,Stanovanje,trisobno,1932,,66.0,154900.0,Rojal invest d.o.o.
"MEDVODE, PRI SPARU",Prodaja,Stanovanje,enosobno,1851,,37.8,107000.0,"UNIKAT NEPREMIČNINA, Nenad Antić s.p."
"MEDVODE, SMLEDNIK",Prodaja,Hiša,Samostojna,1935,835.0,220.0,235000.0,MESTO NEPREMIČNIN d.o.o.
"MEDVODE, STUDENČICE NAD MEDVODAMI",Prodaja,Hiša,Samostojna,1990,2716.0,290.0,380000.0,MESTO NEPREMIČNIN d.o.o.
"MEDVODE, SVETJE",Prodaja,Stanovanje,triinpolsobno,1956,,70.0,158000.0,Zasebna ponudba
"MEDVODE, SVETJE",Prodaja,Hiša,Dvostanovanjska,1982,2200.0,581.5,669000.0,Rojal invest d.o.o.
"MEDVODE, TURKOVA",Prodaja,Hiša,Dvojček,1977,337.0,275.7,260000.0,Rojal invest d.o.o.
"MEDVODE, V NASELJU SVETJE",Prodaja,Hiša,Dvojček,1975,297.0,286.6,270000.0,Rojal invest d.o.o.
"MEDVODE, VERJE",Prodaja,Hiša,Samostojna,1990,490.0,141.6,259000.0,Inalbea d.o.o.
"MEDVODE, ZBILJE",Prodaja,Stanovanje,garsonjera,2009,,45.5,110000.0,Agencija Vitraž d.o.o.
"MEDVODE, ZBILJE",Prodaja,Poslovni prostor,Gostinski lokal,1996,714.0,520.0,870000.0,Blok d.o.o.
"MEDVODE, ZBILJSKI GAJ",Prodaja,Hiša,Samostojna,2002,1565.0,279.0,690000.0,MESTO NEPREMIČNIN d.o.o.
"MEDVODE, ŽLEBE",Prodaja,Hiša,Samostojna,2007,925.0,114.37,219000.0,"BAZA, posredovanje v prometu z nepremičninami, Brina Sotlar s.p."
"MEJE, MIRNA IN SONČNA LOKACIJA",Prodaja,Vikend,Bivalen,1810,49568.0,171.0,45000.0,"Nepremičninska družba d.o.o., PE RE/MAX Poetovio"
MEKINJE,Prodaja,Stanovanje,trisobno,2018,,77.9,89000.0,APOLONIJ nepremičnine d.o.o.
MEKINJE,Prodaja,Stanovanje,štirisobno,1941,486.0,96.0,145000.0,Mezanin nepremičnine d.o.o.
MEKINJE NAD STIČNO,Prodaja,Hiša,Samostojna,1991,923.0,191.0,180000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"MEKINJE, CANKARJEVA ULICA 1F, KAMNIK",Prodaja,Stanovanje,garsonjera,2011,,36.4,2700.0,Metalka commerce d.d.
MEKOTNJAK,Prodaja,Hiša,Samostojna,1984,1568.0,271.0,89000.0,Prips nepremičnine d.o.o.
MELANJSKI VRH,Prodaja,Hiša,Samostojna,1975,2185.0,66.3,79000.0,"RE/MAX Pomurje, PRO-BEL, d.o.o."
MELINCI,Prodaja,Hiša,Samostojna,1939,3017.0,72.1,49000.0,FISA nepremičnine d.o.o.
MELJE,Prodaja,Stanovanje,dvoinpolsobno,1898,,63.5,57000.0,Atrium nepremičnine d.o.o.
MELJE,Prodaja,Stanovanje,trisobno,1900,,66.2,60000.0,Atrium nepremičnine d.o.o.
MELJE,Prodaja,Stanovanje,trisobno,1900,,66.2,61900.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o."
MELJE,Prodaja,Poslovni prostor,Pisarna,1895,,91.9,68000.0,"C-nep agencija, d.o.o."
MELJE,Prodaja,Poslovni prostor,Pisarna,1895,,91.9,68000.0,"Agenti nepremičninsko posredovanje, d.o.o."
MELJE,Prodaja,Poslovni prostor,Pisarna,1930,,189.0,75000.0,"Nepremičnine, Košir Branka s.p."
MELJE,Prodaja,Poslovni prostor,Pisarna,1900,,219.0,149900.0,"C-nep agencija, d.o.o."
MELJE,Prodaja,Poslovni prostor,Pisarna,1930,,263.8,88800.0,"DUTB, d.d."
MELJE,Prodaja,Hiša,Samostojna,1900,769.0,334.2,139000.0,"C-nep agencija, d.o.o."
MELJE,Prodaja,Poslovni prostor,Kombiniran prostor,1947,,522.5,459000.0,"C-nep agencija, d.o.o."
MELJE,Prodaja,Poslovni prostor,Večji poslovni kompleks,2008,,548.0,480000.0,Vuitea d.o.o.
MELJE,Prodaja,Poslovni prostor,Pisarna,1980,,665.81,429000.0,"INSA d.o.o., Europark Maribor"
"MELJE, EINSPIELERJEVA ULICA",Prodaja,Hiša,Samostojna,1900,769.0,334.2,139000.0,Dodoma d.o.o.
"MELJE, MARIBOR",Prodaja,Poslovni prostor,Pisarna,2010,,70.0,69000.0,Zasebna ponudba
"MELJE, MARIBOR",Prodaja,Poslovni prostor,Delavnica,1960,398.0,390.0,214900.0,24nep d.o.o.
"MELJE, MARIBOR400M OD OBVOZNICE",Prodaja,Poslovni prostor,Večji poslovni kompleks,1988,5936.0,3630.0,1499999.0,24nep d.o.o.
"MELJE, ULICA HEROJA ŠARANOVIČA 27",Prodaja,Poslovni prostor,Prostor za storitve,1895,,430.0,98000.0,NOVA KBM d.d.
"MELJE, V BLIŽINI CENTRA MESTA",Prodaja,Stanovanje,dvosobno,1888,,57.6,49900.0,24nep d.o.o.
MELJSKI HRIB,Prodaja,Stanovanje,petsobno,1890,,106.2,400.0,ABC nepremičnine d.o.o.
MELJSKI HRIB,Prodaja,Hiša,Samostojna,1968,1254.0,234.0,129500.0,"INSA d.o.o., Europark Maribor"
"MELJSKI HRIB, STOLNI VRH",Prodaja,Hiša,Samostojna,1900,4009.0,229.0,45000.0,Dodoma d.o.o.
MENGEŠ,Prodaja,Stanovanje,enosobno,1986,,41.6,121300.0,Zasebna ponudba
MENGEŠ,Prodaja,Stanovanje,dvosobno,1981,,60.1,140000.0,DFI nepremičnine d.o.o.
MENGEŠ,Prodaja,Stanovanje,trisobno,1981,,62.2,125000.0,DFI nepremičnine d.o.o.
MENGEŠ,Prodaja,Stanovanje,dvosobno,1980,,62.2,125000.0,KREATIVDOM d.o.o.
MENGEŠ,Prodaja,Stanovanje,dvosobno,1981,,64.0,129600.0,REGROUP d.o.o.
MENGEŠ,Prodaja,Stanovanje,trisobno,2007,,71.5,179000.0,Media nepremičnine d.o.o.
MENGEŠ,Prodaja,Poslovni prostor,Prostor za storitve,1977,,103.9,120000.0,LJUBLJANA NEPREMIČNINE d.o.o.
MENGEŠ,Prodaja,Stanovanje,petsobno,2008,,109.2,248000.0,KREATIVDOM d.o.o.
MENGEŠ,Prodaja,Hiša,Samostojna,2006,596.0,113.7,395000.0,MKA nepremičnine d.o.o.
MENGEŠ,Prodaja,Stanovanje,štirisobno,1999,,118.0,160000.0,Zasebna ponudba
MENGEŠ,Prodaja,Hiša,Dvojček,2019,250.0,140.0,219000.0,Zasebna ponudba
MENGEŠ,Prodaja,Stanovanje,štirisobno,2018,42.0,168.0,292000.0,"MA - nepremičninska družba, Marko Alič s.p."
MENGEŠ,Prodaja,Hiša,Samostojna,1970,403.0,200.0,240000.0,Stipanič nepremičnine Andreja Stipanič s.p.
MENGEŠ,Prodaja,Poslovni prostor,Neživilska trgovina,1970,403.0,200.0,240000.0,Stipanič nepremičnine Andreja Stipanič s.p.
MENGEŠ,Prodaja,Poslovni prostor,Gostinski lokal,1800,476.0,206.9,125000.0,LGP d.o.o.
MENGEŠ,Prodaja,Hiša,Samostojna,1800,476.0,206.9,125000.0,LGP d.o.o.
MENGEŠ,Prodaja,Poslovni prostor,Gostinski lokal,1930,496.0,242.0,330000.0,DARMAL d.o.o.
MENGEŠ,Prodaja,Hiša,Samostojna,1990,612.0,285.0,285000.0,DFI nepremičnine d.o.o.
MENGEŠ,Prodaja,Poslovni prostor,Prostor za storitve,1977,,290.0,290000.0,Domplan d.d.
MENGEŠ,Prodaja,Hiša,Samostojna,1970,470.0,331.0,280000.0,KREATIVDOM d.o.o.
MENGEŠ,Prodaja,Hiša,Samostojna,1975,830.0,363.0,330000.0,MESTO NEPREMIČNIN d.o.o.
MENGEŠ,Prodaja,Hiša,Samostojna,2005,1280.0,370.0,650000.0,"Stoja trade, d.o.o., Ljubljana"
MENGEŠ,Prodaja,Hiša,Dvostanovanjska,1968,643.0,380.0,260000.0,"INF - ING nepremičnine, storitve, d.o.o."
MENGEŠ,Prodaja,Poslovni prostor,Gostinski lokal,1930,649.0,385.0,420000.0,DARMAL d.o.o.
"MENGEŠ, BALKON",Prodaja,Stanovanje,dvosobno,1989,,60.0,142000.0,"STAN nepremičnine d.o.o., Ljubljana"
"MENGEŠ, CENTER",Prodaja,Poslovni prostor,Pisarna,1995,,39.4,49500.0,JA Invest 888 d.o.o.
"MENGEŠ, CENTER",Prodaja,Poslovni prostor,Gostinski lokal,1977,,71.9,99000.0,K 3 Kern d.o.o.
"MENGEŠ, CENTER",Prodaja,Poslovni prostor,Prostor za storitve,1970,403.0,103.0,240000.0,Karo d.o.o.
"MENGEŠ, CENTER",Prodaja,Hiša,Samostojna,1970,403.0,236.1,240000.0,Karo d.o.o.
"MENGEŠ, FREKVENTNA LOKACIJA",Prodaja,Poslovni prostor,Večji poslovni kompleks,1982,9636.0,690.5,1420000.0,"Salomon nepremičnine, Anže Nahtigal, s.p."
"MENGEŠ, GLAVNI TRG",Prodaja,Stanovanje,trisobno,2019,,88.3,206000.0,Evio d.o.o.
"MENGEŠ, GLAVNI TRG",Prodaja,Stanovanje,štirisobno,2019,,99.6,218900.0,Evio d.o.o.
"MENGEŠ, GLAVNI TRG KANČEVA",Prodaja,Poslovni prostor,Prostor za storitve,2019,,63.0,76920.0,Evio d.o.o.
"MENGEŠ, GLAVNI TRG KANČEVA",Prodaja,Stanovanje,trisobno,2019,,66.0,145200.0,Evio d.o.o.
"MENGEŠ, GLAVNI TRG KANČEVA",Prodaja,Stanovanje,štirisobno,2019,,88.5,174636.0,Evio d.o.o.
"MENGEŠ, GORENJSKA CESTA",Prodaja,Poslovni prostor,Skladišče,1980,677.0,1350.0,690000.0,"INBA, nepremičninska družba, d.o.o."
"MENGEŠ, KOMENDA",Prodaja,Hiša,Samostojna,1995,800.0,370.0,375000.0,"CIMER, MAKSIMILJAN REMIC s.p."
"MENGEŠ, LEVČEVA ULICA",Prodaja,Stanovanje,štirisobno,1987,,96.1,144800.0,JA Invest 888 d.o.o.
"MENGEŠ, LIPARJEVA CESTA",Prodaja,Hiša,Samostojna,1890,991.0,116.0,155000.0,Mikljič-Hribar Company d.o.o.
"MENGEŠ, OB VPADNICI V MESTO",Prodaja,Poslovni prostor,Delavnica,1932,4795.0,1286.0,650000.0,"AJP d.o.o., Kranj"
"MENGEŠ, ROPRETOVA 9",Prodaja,Poslovni prostor,Gostinski lokal,1900,476.0,200.0,125000.0,Zasebna ponudba
"MENGEŠ, ROPRETOVA 9",Prodaja,Hiša,Samostojna,1900,476.0,200.0,125000.0,Zasebna ponudba
"MENGEŠ, ZADRUŽNIŠKA ULICA 25",Prodaja,Hiša,Vrstna,1959,359.0,133.0,160000.0,Karo d.o.o.
"MENIŠKA VAS, DOLENJSKE TOPLICE",Prodaja,Hiša,Samostojna,1985,1095.0,240.0,148000.0,Nepis d.o.o.
MESTINJE,Prodaja,Hiša,Samostojna,1989,750.0,170.0,80000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o."
MESTINJE,Prodaja,Hiša,Samostojna,2005,1635.0,189.7,110000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
"MESTINJE, PODPLAT",Prodaja,Hiša,Samostojna,1986,1573.0,176.0,89000.0,Zasebna ponudba
MESTNI VRH,Prodaja,Hiša,Samostojna,1996,1620.0,124.9,139000.0,"Nepremičninska družba d.o.o., PE RE/MAX Poetovio"
MESTNI VRH,Prodaja,Hiša,Samostojna,1984,1623.0,226.8,128000.0,"Agenti nepremičninsko posredovanje, d.o.o."
MESTNI VRH,Prodaja,Hiša,Samostojna,1999,1998.0,425.0,500000.0,"Nepremičninska družba d.o.o., pe RE/MAX Poetovio"
METLIKA,Prodaja,Poslovni prostor,Pisarna,1980,,30.5,13500.0,Hiša nepremičnine 1 d.o.o.
METLIKA,Prodaja,Vikend,Bivalen,2012,4924.0,35.0,35000.0,Prenova Marko Bele s.p. Novo mesto
METLIKA,Prodaja,Vikend,Lesen,2012,5758.0,41.0,35000.0,Kapitelj nepremičnine d.o.o.
METLIKA,Prodaja,Stanovanje,enosobno,1997,,45.1,39000.0,STANART d.o.o.
METLIKA,Prodaja,Stanovanje,dvosobno,1975,,66.5,65000.0,Nepis d.o.o.
METLIKA,Prodaja,Poslovni prostor,Prostor za storitve,1845,245.0,108.8,30000.0,NNRN nepremičnine d.o.o. Novo mesto
METLIKA,Prodaja,Hiša,Samostojna,1967,1079.0,144.0,79800.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
METLIKA,Prodaja,Hiša,Samostojna,1960,600.0,180.0,75000.0,Zasebna ponudba
METLIKA,Prodaja,Hiša,Dvojček,1973,,200.0,117000.0,Zasebna ponudba
METLIKA,Prodaja,Hiša,Samostojna,1995,565.0,220.0,129000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
METLIKA,Prodaja,Poslovni prostor,Prostor za storitve,1980,,248.0,124300.0,Nepis d.o.o.
METLIKA,Prodaja,Hiša,Samostojna,1957,3124.0,271.0,105000.0,STANART d.o.o.
METLIKA,Prodaja,Hiša,Dvostanovanjska,1977,698.0,302.4,165000.0,Exedra nepremičnine - Dragan Dušanić s.p.
METLIKA,Prodaja,Hiša,Samostojna,1969,621.0,368.5,119000.0,Kapitelj nepremičnine d.o.o.
METLIKA,Prodaja,Poslovni prostor,Pisarna,1960,130.0,588.0,120000.0,Beti d.d.
METLIKA,Prodaja,Poslovni prostor,Večji poslovni kompleks,2007,6705.0,1540.0,830000.0,Heta Asset Resolution d.o.o.
"METLIKA, BREZOVICA PRI METLIKI",Prodaja,Hiša,Samostojna,1958,2064.0,38.0,29000.0,Kvadrat nepremičnine d.o.o.
"METLIKA, CENTER",Prodaja,Poslovni prostor,Pisarna,1980,,327.0,124300.0,Raiffeisen Leasing d.o.o.
"METLIKA, CENTER",Prodaja,Stanovanje,štiriinpolsobno,1843,,350.0,49000.0,STANART d.o.o.
"METLIKA, DOLE",Prodaja,Hiša,Samostojna,1970,802.0,140.0,93000.0,Nepremičnine Lara d.o.o.
"METLIKA, MESTNO JEDRO",Prodaja,Stanovanje,enosobno,1863,,40.8,35000.0,Zasebna ponudba
"METLIKA, OKOLICA",Prodaja,Hiša,Samostojna,1980,2622.0,200.0,130000.0,Nepis d.o.o.
"METLIKA, OKOLICA, DRAGE",Prodaja,Hiša,Samostojna,1983,1463.0,197.0,99000.0,Kvadrat nepremičnine d.o.o.
"METLIKA, PARTIZANSKI TRG",Prodaja,Stanovanje,dvosobno,1890,175.0,76.0,25200.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"METLIKA, SUHOR, DRAGE",Prodaja,Hiša,Samostojna,1983,1935.0,165.0,77000.0,Kvadrat nepremičnine d.o.o.
"METLIKA, TRNOVEC",Prodaja,Hiša,Samostojna,1960,1086.0,70.0,55000.0,Nepis d.o.o.
"METLIKA, TRNOVEC",Prodaja,Hiša,Samostojna,1980,587.0,133.0,75000.0,Nepis d.o.o.
"METLIKA, ULICA BELOKRANJSKEGA ODREDA 18",Prodaja,Hiša,Samostojna,1976,877.0,311.0,46500.0,Okrajno sodišče v Črnomlju
"METLIKA, VIDOŠIČI",Prodaja,Vikend,Bivalen,1920,1213.0,70.0,39000.0,Kvadrat nepremičnine d.o.o.
METNAJ,Prodaja,Hiša,Samostojna,2010,728.0,212.0,375000.0,Klerom d.o.o. Ljubljana
MEZGOVCI OB PESNICI,Prodaja,Hiša,Samostojna,1959,1190.0,107.0,29000.0,"Nepremičninska družba d.o.o., PE RE/MAX Poetovio"
MEŽICA,Prodaja,Stanovanje,dvosobno,1981,,41.6,44000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
MEŽICA,Prodaja,Stanovanje,dvosobno,1981,,41.6,44000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
MEŽICA,Prodaja,Stanovanje,dvosobno,2019,,60.34,1380.0,"SIMOBILIA nepremičnine, d.o.o."
MEŽICA,Prodaja,Stanovanje,trisobno,1963,,81.7,78000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
MEŽICA,Prodaja,Hiša,Dvostanovanjska,1973,701.0,216.0,240000.0,SIMOBILIA nepremičnine d.o.o.
MEŽICA,Prodaja,Hiša,Dvostanovanjska,2001,1158.0,356.0,226000.0,SIMOBILIA nepremičnine d.o.o.
MEŽICA,Prodaja,Hiša,Drugo,1840,1476.0,700.0,500000.0,SIMOBILIA nepremičnine d.o.o.
MEŽICA,Prodaja,Hiša,Drugo,1880,1000.0,980.0,300000.0,SIMOBILIA nepremičnine d.o.o.
MEŽICA,Prodaja,Poslovni prostor,Kombiniran prostor,1880,1000.0,980.0,300000.0,SIMOBILIA nepremičnine d.o.o.
"MEŽICA, CENTER",Prodaja,Stanovanje,trisobno,2019,,70.13,1380.0,"SIMOBILIA nepremičnine, d.o.o."
"MEŽICA, CENTER",Prodaja,Stanovanje,štirisobno,2019,,96.23,1380.0,"SIMOBILIA nepremičnine, d.o.o."
"MEŽICA, CENTER MESTA",Prodaja,Stanovanje,dvosobno,1974,,64.9,76000.0,Zasebna ponudba
"MEŽICA, CENTER MESTA",Prodaja,Hiša,Samostojna,1877,509.0,183.3,55000.0,Studio Vida d.o.o.
"MEŽICA, CENTER MEŽICE",Prodaja,Hiša,Samostojna,1950,100.0,80.0,45900.0,"Elektron nepremičnine Vlasta Jeromel s.p., PE Slovenj Gradec"
"MEŽICA, MARIBORSKA CESTA 13",Prodaja,Poslovni prostor,Prostor za storitve,1992,,42.01,19000.0,Stanovanjski sklad RS
MIGOJNICE,Prodaja,Hiša,Samostojna,1978,1821.0,510.0,1480000.0,Zasebna ponudba
MIGOJNICE,Prodaja,Hiša,Samostojna,1978,1821.0,600.0,1480000.0,Mezanin nepremičnine d.o.o.
MIGOJNICE,Prodaja,Poslovni prostor,Kombiniran prostor,1978,1830.0,980.0,1480000.0,Bajtiga poslovanje z nepremičninami d.o.o.
"MIHALOVEC, DOBOVA",Prodaja,Stanovanje,štirisobno,2015,440.0,106.3,100000.0,Nepremičnine-Sanja Radivojević s.p.
MIHOVCE,Prodaja,Hiša,Samostojna,1964,1630.0,205.0,55000.0,"Idila nepremičnine, Damijan Kokol s.p."
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Stanovanje,petsobno,1980,172.0,105.5,72000.0,Mezanin nepremičnine d.o.o.
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Stanovanje,trisobno,2008,,113.9,123500.0,Atrium nepremičnine d.o.o.
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Samostojna,2016,711.0,130.0,95000.0,Zasebna ponudba
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Dvojček,2019,350.0,135.0,149900.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o."
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Stanovanje,štirisobno,1980,1056.0,153.0,72000.0,"C-nep agencija, d.o.o."
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Samostojna,1978,712.0,160.0,220000.0,Zasebna ponudba
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Samostojna,1880,963.0,168.0,69500.0,Dodoma d.o.o.
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Dvostanovanjska,1949,754.0,172.0,167000.0,"INVENTA NEPREMIČNINE, Tanja Koser s.p."
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Samostojna,1946,754.0,172.0,167000.0,"INVENTA NEPREMIČNINE, Tanja Koser s.p."
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Samostojna,1958,855.0,188.5,180000.0,"C-nep agencija, d.o.o."
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Samostojna,1975,,190.0,385700.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Samostojna,2008,535.0,221.2,229950.0,"INSA d.o.o., Europark Maribor"
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Samostojna,1986,668.0,311.0,165000.0,NOVA KBM d.d.
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Poslovni prostor,Neživilska trgovina,1995,567.0,383.0,285000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o."
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Dvostanovanjska,1975,,400.0,390000.0,"Agenti nepremičninsko posredovanje, d.o.o."
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Hiša,Samostojna,1998,852.0,402.0,220000.0,"C-nep agencija, d.o.o."
MIKLAVŽ NA DRAVSKEM POLJU,Prodaja,Poslovni prostor,Pisarna,2009,1770.0,1365.0,425000.0,"DUTB, d.d."
"MIKLAVŽ NA DRAVSKEM POLJU, KURIRČKOVA ULICA",Prodaja,Hiša,Samostojna,1984,646.0,179.0,215000.0,Zoro d.o.o.
"MIKLAVŽ NA DRAVSKEM POLJU, MKLAVŽ",Prodaja,Hiša,Vrstna,2019,75.0,149.24,169300.0,"DOM-US, nepremičnine, d.o.o."
"MIKLAVŽ NA DRAVSKEM POLJU, ROGOŠKA CESTA 28B, 2204",Prodaja,Hiša,Vrstna,2008,225.0,123.9,174990.0,Zasebna ponudba
"MIKLAVŽ PRI ORMOŽU, KAJŽAR",Prodaja,Hiša,Samostojna,1950,519.0,155.0,125000.0,"Nepremičninska družba d.o.o., pe RE/MAX Poetovio"
MILJE,Prodaja,Hiša,Samostojna,1989,930.0,320.0,730000.0,Mezanin nepremičnine d.o.o.
MIREN,Prodaja,Stanovanje,enosobno,1920,29.0,64.1,50000.0,LEBAN INVEST d.o.o.
MIREN,Prodaja,Poslovni prostor,Živilska trgovina,1994,104.0,78.4,100000.0,Vilmar nepremičnine d.o.o.
MIREN,Prodaja,Stanovanje,trisobno,1918,88.0,81.0,135000.0,LEBAN INVEST d.o.o.
MIREN,Prodaja,Stanovanje,trisobno,2004,433.0,109.7,119000.0,"Agencija Karmen d.o.o., PE Nova Gorica"
MIREN,Prodaja,Hiša,Samostojna,2005,433.0,204.0,119000.0,"MISTRAL NEPREMIČNINE, Valter Vodopivec s.p."
MIREN,Prodaja,Poslovni prostor,Skladišče,2006,9600.0,850.0,495.0,REGROUP d.o.o.
MIREN,Prodaja,Poslovni prostor,Drugo,1960,3834.0,1146.5,313800.0,Renes d.o.o.
MIRJE,Prodaja,Hiša,Samostojna,1940,594.0,214.0,830000.0,"Stoja trade, d.o.o., Ljubljana"
"MIRJE, LE NEKAJ KORAKOV DO CENTRA",Prodaja,Stanovanje,štirisobno,1870,,189.4,540000.0,"Infostan, Radiša Miljaković s.p."
MIRNA,Prodaja,Hiša,Dvojček,1950,754.0,69.9,43000.0,Hiša nepremičnine 1 d.o.o.
MIRNA,Prodaja,Hiša,Samostojna,1989,219.0,137.4,98000.0,Diamant nepremičnine d.o.o.
MIRNA,Prodaja,Hiša,Samostojna,1970,71746.0,181.6,153000.0,Hiša nepremičnine 1 d.o.o.
MIRNA,Prodaja,Hiša,Samostojna,2004,1248.0,266.3,250000.0,Hiša nepremičnine 1 d.o.o.
MIRNA PEČ,Prodaja,Hiša,Samostojna,1935,601.0,71.0,38000.0,Kvadrat nepremičnine d.o.o.
MIRNA PEČ,Prodaja,Hiša,Samostojna,1950,908.0,132.0,86000.0,Nepremičnine Lara d.o.o.
MIRNA PEČ,Prodaja,Hiša,Vrstna,2008,358.0,206.0,176000.0,Hiša nepremičnine 1 d.o.o.
"MIRNA PEČ, GOLOBINJEK",Prodaja,Vikend,Bivalen,2001,1036.0,36.0,28000.0,Kvadrat nepremičnine d.o.o.
"MIRNA PEČ, HMELJČIČ",Prodaja,Vikend,Drugo,1920,3057.0,20.0,19500.0,Kvadrat nepremičnine d.o.o.
"MIRNA PEČ, ODLIČEN RAZGLED",Prodaja,Vikend,Drugo,1920,3057.0,20.0,20500.0,MKA nepremičnine d.o.o.
"MIRNA PEČ, SREDIŠČE NASELJA",Prodaja,Hiša,Samostojna,1950,908.0,132.3,86000.0,Kvadrat nepremičnine d.o.o.
"MIRNA, 6 KM IZ MIRNE",Prodaja,Vikend,Bivalen,1928,3803.0,50.0,55000.0,Zasebna ponudba
"MIRNA, CENTER KRAJA",Prodaja,Stanovanje,trisobno,1910,,90.0,100000.0,Zasebna ponudba
"MIRNA, DOLENSKA MIRNSKI GRAD",Prodaja,Hiša,Samostojna,1957,5260.0,2413.0,800000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"MIRNA, DOLENSKA MIRNSKI GRAD",Prodaja,Poslovni prostor,Večji poslovni kompleks,1957,5260.0,2413.0,800000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"MIRNA, GLAVNA CESTA 51",Prodaja,Stanovanje,dvosobno,2008,,54.0,85000.0,Zasebna ponudba
"MIRNA, GORENJA VAS",Prodaja,Vikend,Bivalen,1999,4177.0,200.0,100000.0,Kvadrat nepremičnine d.o.o.
"MIRNA, STAN",Prodaja,Vikend,Bivalen,2009,2540.0,138.0,110000.0,"Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o."
MISLINJA,Prodaja,Stanovanje,trisobno,1920,304.0,71.0,45000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
