ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija,regija
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Gostinski lokal,1996,,38.66,79000.0,"Central RE d.o.o., PE LJUBLJANA",ljubljana-mesto
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Drugo,1996,,90.5,109000.0,"Dodoma d.o.o., PE Ljubljana",ljubljana-mesto
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Prostor za storitve,1998,,99.8,195000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Pisarna,1996,,170.0,323000.0,Svet Real d.o.o.,ljubljana-mesto
"BEŽIGRAJSKI DVOR, PERIČEVA ULICA",Prodaja,Stanovanje,enosobno,1996,,42.5,139000.0,Ceres nepremičnine d.o.o.,ljubljana-mesto
BIZOVIK,Prodaja,Hiša,Dvojček,2007,218.0,130.0,365000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
BIZOVIK,Prodaja,Hiša,Vrstna,2008,275.0,170.0,389000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
BIZOVIK,Prodaja,Hiša,Vrstna,2007,116.0,190.0,310000.0,Agencija Jakkra-n d.o.o.,ljubljana-mesto
BIZOVIK,Prodaja,Hiša,Samostojna,1995,1209.0,270.0,550000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
BIZOVIK,Prodaja,Hiša,Samostojna,1995,1209.0,338.0,550000.0,Fortuna int. d.o.o.,ljubljana-mesto
BRDO,Prodaja,Stanovanje,enosobno,1970,,44.0,134000.0,KU-MI nepremičnine d.o.o.,ljubljana-mesto
BRDO,Prodaja,Stanovanje,trisobno,2014,,74.4,325000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
BRDO,Prodaja,Hiša,Dvojček,1970,,88.66,240000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
BRDO,Prodaja,Stanovanje,trisobno,2018,,96.65,391500.0,RCN d.o.o.,ljubljana-mesto
BRDO,Prodaja,Stanovanje,trisobno,2019,,116.83,394800.0,RCN d.o.o.,ljubljana-mesto
BRDO,Prodaja,Stanovanje,petsobno,2019,,138.42,461000.0,RCN d.o.o.,ljubljana-mesto
BRDO,Prodaja,Poslovni prostor,Pisarna,1983,,162.6,249000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
BRDO,Prodaja,Poslovni prostor,Prostor za storitve,1983,,162.6,249000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
BRDO,Prodaja,Hiša,Samostojna,1951,,208.0,319000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
BRDO,Prodaja,Poslovni prostor,Gostinski lokal,1998,,246.0,300000.0,ABC nepremičnine d.o.o.,ljubljana-mesto
"BRDO, 1000 LJ.",Prodaja,Hiša,Dvostanovanjska,1973,707.0,250.0,270000.0,Zasebna ponudba,ljubljana-mesto
"BRDO, BRDNIKOVA ULICA",Prodaja,Stanovanje,štirisobno,2018,,157.1,590000.0,"ENOTA real estate, nepremičninsko posredovanje, Eva Golc, s.p",ljubljana-mesto
"BRDO, NOVA GRBINA",Prodaja,Stanovanje,štirisobno,2002,,190.9,480000.0,LJUBLJANA NEPREMIČNINE d.o.o.,ljubljana-mesto
BREZJE PRI LIPOGLAVU,Prodaja,Hiša,Dvostanovanjska,1983,1110.0,191.6,280000.0,LJUBLJANA NEPREMIČNINE d.o.o.,ljubljana-mesto
"BREZJE PRI LIPOGLAVU, OAZA NARAVE IN MIRU",Prodaja,Hiša,Samostojna,1983,1110.0,231.0,269900.0,Studio 68 d.o.o.,ljubljana-mesto
BRINJE,Prodaja,Poslovni prostor,Kombiniran prostor,1980,2888.0,1575.0,2800000.0,METROPOLA IN d.o.o.,ljubljana-mesto
"BRINJE, LJ BEŽIGRAD POHORSKEGA BATALJONA",Prodaja,Garaža,Vsi tipi,1969,,12.48,10500.0,Zasebna ponudba,ljubljana-mesto
BROD,Prodaja,Stanovanje,dvosobno,2006,,79.6,210000.0,Zasebna ponudba,ljubljana-mesto
BROD,Prodaja,Hiša,Samostojna,1960,566.0,192.0,289000.0,"MP PROJEKT, d.o.o., PE Ljubljana",ljubljana-mesto
BROD,Prodaja,Hiša,Vrstna,1970,307.0,202.8,285000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
BROD,Prodaja,Hiša,Samostojna,2002,1984.0,399.0,990000.0,Rocco nepremičnine d.o.o.,ljubljana-mesto
"BROD, SLAŠČIČARNA IN PEKARNA",Prodaja,Poslovni prostor,Gostinski lokal,2005,,220.0,480000.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
BS 3,Prodaja,Stanovanje,enoinpolsobno,1979,,50.0,140000.0,Zasebna ponudba,ljubljana-mesto
BS 3,Prodaja,Stanovanje,trisobno,1982,,77.0,208000.0,LJUBLJANA NEPREMIČNINE d.o.o.,ljubljana-mesto
BS 3,Prodaja,Stanovanje,trisobno,1978,,77.7,225000.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
BS 3,Prodaja,Stanovanje,trisobno,1975,,79.5,188000.0,MEZANIN PRO nepremičnine d.o.o.,ljubljana-mesto
BS 3,Prodaja,Stanovanje,trisobno,1982,,79.6,208000.0,"BAZA, posredovanje v prometu z nepremičninami, Brina Sotlar s.p.",ljubljana-mesto
BS 3,Prodaja,Stanovanje,trisobno,1981,,80.2,245000.0,Zasebna ponudba,ljubljana-mesto
"BS 3, BS3",Prodaja,Stanovanje,trisobno,1981,,81.0,187000.0,Zasebna ponudba,ljubljana-mesto
"BS 3, LJ. - BEŽIGRAD",Prodaja,Stanovanje,štirisobno,1978,,95.2,225000.0,Zasebna ponudba,ljubljana-mesto
"BS 3, LJ., BEŽIGRAD",Prodaja,Stanovanje,trisobno,1981,,83.89,247000.0,Zasebna ponudba,ljubljana-mesto
"BS 3, REBOLJEVA ULICA",Prodaja,Stanovanje,enosobno,1975,,34.13,129000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Neživilska trgovina,1999,,32.79,108000.0,Zasebna ponudba,ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Pisarna,1980,,64.2,128000.0,LJUBLJANA NEPREMIČNINE d.o.o.,ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Prostor za storitve,2005,,123.0,190000.0,"STAN nepremičnine d.o.o., Ljubljana",ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Pisarna,2004,,123.7,216475.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Pisarna,2004,,125.24,219170.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Drugo,2006,,232.2,487620.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Neživilska trgovina,2006,,232.3,480000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Večji poslovni kompleks,2006,,232.3,464600.0,ABC nepremičnine d.o.o.,ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Pisarna,2004,,248.94,435645.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Pisarna,1980,,939.64,1250000.0,Lares nepremičninska družba d.o.o.,ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Prostor za storitve,1980,1422.0,1185.0,1490000.0,"Central RE d.o.o., PE LJUBLJANA",ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Prostor za storitve,1970,,1190.0,1490000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
BTC,Prodaja,Poslovni prostor,Drugo,2000,,1822.0,2350000.0,LJUBLJANA NEPREMIČNINE d.o.o.,ljubljana-mesto
"BTC, BLIŽINA OBVOZNICE",Prodaja,Poslovni prostor,Pisarna,1998,,128.0,180000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"BTC, DIAMANT LETALIŠKA 5",Prodaja,Poslovni prostor,Neživilska trgovina,2006,,232.3,2200.0,Zasebna ponudba,ljubljana-mesto
"BTC, HALA 5/2 KLETNI PROSTORI",Prodaja,Poslovni prostor,Kombiniran prostor,1958,,90.0,97000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",ljubljana-mesto
"BTC, LESKOŠKOVA",Prodaja,Poslovni prostor,Pisarna,2004,,247.0,416000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal",ljubljana-mesto
"BTC, OBMOČJE LETALIŠKE",Prodaja,Poslovni prostor,Pisarna,2005,24.0,105.0,180000.0,"Property d.o.o., PE Ljubljana",ljubljana-mesto
"BTC, POSLOVNO - INDUSTRIJSKA CONA",Prodaja,Poslovni prostor,Večji poslovni kompleks,1987,,1901.0,1850000.0,NAI Significa d.o.o.,ljubljana-mesto
"BTC, ŠMARTINSKA",Prodaja,Poslovni prostor,Neživilska trgovina,1995,,36.07,120000.0,"Bamba nepremičnine, Tanko Franc s.p.",ljubljana-mesto
ČRNA VAS,Prodaja,Hiša,Dvojček,2020,230.0,113.0,209000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
ČRNA VAS,Prodaja,Hiša,Dvojček,1990,360.0,130.0,199000.0,Zasebna ponudba,ljubljana-mesto
ČRNA VAS,Prodaja,Hiša,Samostojna,2013,1194.0,169.7,420000.0,Roni nepremičnine d.o.o.,ljubljana-mesto
ČRNA VAS,Prodaja,Hiša,Dvojček,2006,471.0,189.0,335000.0,Rocco nepremičnine d.o.o.,ljubljana-mesto
ČRNA VAS,Prodaja,Hiša,Samostojna,2003,19743.0,295.0,980000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
ČRNA VAS,Prodaja,Hiša,Samostojna,2003,1920.0,295.0,800000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
ČRNA VAS,Prodaja,Hiša,Samostojna,2003,19743.0,295.0,980000.0,Eurogeld d.o.o.,ljubljana-mesto
ČRNA VAS,Prodaja,Hiša,Samostojna,2003,3300.0,295.0,950000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"ČRNA VAS, BLIZU PLEČNIKOVE CERKVE",Prodaja,Hiša,Samostojna,1973,1324.0,144.0,280000.0,KREATIVDOM d.o.o.,ljubljana-mesto
"ČRNA VAS, LIPE",Prodaja,Hiša,Dvojček,2006,471.0,189.0,335000.0,Nepremičnine Plus d.o.o.,ljubljana-mesto
"ČRNA VAS, TRNOVSKO PREDMESTJE",Prodaja,Hiša,Dvojček,2009,1050.0,580.0,270000.0,Zasebna ponudba,ljubljana-mesto
ČRNUČE,Prodaja,Garaža,Parkirno mesto,2009,,11.5,4800.0,"DUTB, d.d.",ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,enosobno,1981,,44.4,130000.0,Zasebna ponudba,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,enosobno,1980,,44.5,133000.0,Fesst nepremičnine d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,enosobno,1956,,44.9,132000.0,"24-ur.eu, Dean Daraboš s.p.",ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,dvosobno,1975,,47.9,135000.0,Vizija Lina Ina Poglajen s.p.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,dvoinpolsobno,1980,174.0,58.6,159000.0,Agencija Nera d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,dvosobno,1980,,59.5,155000.0,FIN nepremičninsko posredovanje Robert Fekonja s.p.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,dvosobno,1999,,60.0,173000.0,KU-MI nepremičnine d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Poslovni prostor,Gostinski lokal,1995,,64.3,147000.0,REAL4U d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,dvosobno,1955,,69.6,139000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,trisobno,1929,145.0,70.0,147000.0,Zasebna ponudba,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,trisobno,1955,,74.1,175000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,trisobno,1955,,80.5,176000.0,KREATIVDOM d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,trisobno,1955,,80.5,176000.0,Zasebna ponudba,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,trisobno,1955,,80.5,174000.0,REGROUP d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,trisobno,1955,,80.5,176000.0,Nepremičnine Kranj d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Poslovni prostor,Pisarna,1985,,88.4,89900.0,REGROUP d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,štirisobno,1988,,91.0,240000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,štirisobno,1988,,92.0,247000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,triinpolsobno,2019,,94.06,272040.0,"GB nepremičnine, Goran Barišić s.p.",ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,trisobno,2019,,95.9,277696.0,"GB nepremičnine, Goran Barišić s.p.",ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Vrstna,1991,,102.6,345000.0,LJUBLJANA NEPREMIČNINE d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Dvojček,2016,506.0,122.84,399000.0,Zasebna ponudba,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,dvosobno,2019,,132.65,219000.0,"GB nepremičnine, Goran Barišić s.p.",ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,trisobno,1996,,136.1,228000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,triinpolsobno,2019,,151.22,298000.0,"GB nepremičnine, Goran Barišić s.p.",ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Dvojček,2019,400.0,167.8,329970.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Vrstna,2002,125.0,168.0,285000.0,K 3 Kern d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Dvojček,2012,,179.1,316000.0,Rocco nepremičnine d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Dvostanovanjska,1980,440.0,203.0,390000.0,ALEA nepremičninska družba d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Samostojna,1932,526.0,210.0,245000.0,Aladin inženiring d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Stanovanje,petsobno,2002,,227.0,368000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Vrstna,2002,,227.0,368000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Samostojna,1979,440.0,227.7,395000.0,LJUBLJANA NEPREMIČNINE d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Vrstna,1989,202.0,250.0,270000.0,Hiša nepremičnine 1 d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Vrstna,2002,741.0,255.9,368000.0,Roni nepremičnine d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Samostojna,1982,296.0,258.0,298000.0,"Viventium, Sebastjan Smrkolj s.p.",ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Samostojna,1984,296.0,294.0,299000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Samostojna,1984,,294.0,309000.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Samostojna,1980,533.0,330.0,450000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Samostojna,1980,506.0,330.0,450000.0,Rojal invest d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Samostojna,1990,787.0,440.0,499000.0,Rocco nepremičnine d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Hiša,Samostojna,1990,787.0,444.0,520000.0,DOM REAL d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Poslovni prostor,Skladišče,2001,,760.0,680000.0,Klerom d.o.o. Ljubljana,ljubljana-mesto
ČRNUČE,Prodaja,Poslovni prostor,Skladišče,1996,591.0,795.0,632000.0,REGROUP d.o.o.,ljubljana-mesto
ČRNUČE,Prodaja,Poslovni prostor,Pisarna,1985,,822.9,960.0,RCN d.o.o.,ljubljana-mesto
"ČRNUČE, BLIŽINA DANILE KUMAR IN BRITANSKE ŠOLE",Prodaja,Hiša,Dvojček,2011,313.0,186.0,489000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"ČRNUČE, BRNČIČEVA",Prodaja,Poslovni prostor,Pisarna,1985,,614.0,550000.0,Rocco nepremičnine d.o.o.,ljubljana-mesto
"ČRNUČE, BRNČIČEVA",Prodaja,Poslovni prostor,Pisarna,1985,,614.0,550000.0,SINEP družba za investiranje d.o.o.,ljubljana-mesto
"ČRNUČE, DUNAJSKA CESTA",Prodaja,Stanovanje,trisobno,1955,628.0,80.5,176000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
"ČRNUČE, DUNAJSKA CESTA",Prodaja,Hiša,Dvostanovanjska,1900,487.0,929.3,398000.0,Zasebna ponudba,ljubljana-mesto
"ČRNUČE, LJ.",Prodaja,Hiša,Samostojna,1984,296.0,294.0,298000.0,Nepis d.o.o.,ljubljana-mesto
"ČRNUČE, MIRNA IN ZELENA LOKACIJA",Prodaja,Hiša,Samostojna,2017,620.0,258.6,700000.0,Realia d.o.o.,ljubljana-mesto
