ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija,regija 
"LOKE PRI MOZIRJU, DOBROVLJE",Prodaja,Vikend,Lesen,1995,1192.0,16.0,22000.0,"Janko nepremičnine, Ema Janko s.p.",savinjska
LOKOVICA,Prodaja,Vikend,Zidan,1870,4607.0,68.73,80000.0,Zasebna ponudba,savinjska
LOKOVICA,Prodaja,Hiša,Samostojna,2015,630.0,95.0,85000.0,Bremis d.o.o.,savinjska
LOKOVICA,Prodaja,Hiša,Samostojna,2015,564.0,95.0,45000.0,Bremis d.o.o.,savinjska
"LOKOVINA, DOLINA MLINOV",Prodaja,Vikend,Zidan,1890,780.0,40.0,25000.0,Zasebna ponudba,savinjska
LOKROVEC,Prodaja,Hiša,Samostojna,1973,783.0,264.0,195000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
LOPACA,Prodaja,Hiša,Samostojna,1977,1300.0,54.0,34000.0,Zasebna ponudba,savinjska
LOPATA,Prodaja,Hiša,Samostojna,1987,787.0,100.0,145000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
LOPATA,Prodaja,Hiša,Dvostanovanjska,1972,850.0,150.0,151000.0,Zasebna ponudba,savinjska
LOŽNICA PRI ŽALCU,Prodaja,Hiša,Samostojna,1800,336.0,222.0,70000.0,Euromark-a d.o.o.,savinjska
LUČE,Prodaja,Hiša,Samostojna,1979,862.0,300.0,179000.0,"Think Slovenia, TS1 d.o.o.",savinjska
"LUČE, CENTER",Prodaja,Hiša,Samostojna,1973,586.0,248.0,150000.0,Zasebna ponudba,savinjska
MALE BRASLOVČE,Prodaja,Hiša,Samostojna,1968,958.0,70.0,93000.0,Zasebna ponudba,savinjska
MALE DOLE,Prodaja,Vikend,Zidan,1985,857.0,59.8,36000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
MALE DOLE,Prodaja,Hiša,Samostojna,2009,607.0,204.3,195000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
MALE RODNE,Prodaja,Hiša,Samostojna,2015,10338.0,350.0,430000.0,Atrium nepremičnine d.o.o.,savinjska
MALI VRH,Prodaja,Hiša,Samostojna,1981,1656.0,230.0,179000.0,"RENEX, Ksenija Mihajlović s.p.",savinjska
MALI VRH,Prodaja,Hiša,Samostojna,2012,393.0,293.1,145000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
MALI VRH,Prodaja,Hiša,Samostojna,2012,400.0,300.0,175000.0,Zasebna ponudba,savinjska
MATKE,Prodaja,Hiša,Samostojna,1952,115.0,112.0,53000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
MATKE,Prodaja,Hiša,Samostojna,1962,200.0,120.0,58000.0,Zasebna ponudba,savinjska
MEDLOG,Prodaja,Stanovanje,štirisobno,2019,240.0,115.0,175000.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
MEDLOG,Prodaja,Posest,Zazidljiva,2019,,659.0,80000.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
MEDLOG,Prodaja,Poslovni prostor,Večji poslovni kompleks,1973,27589.0,6559.0,2000000.0,"Zavarovalnica Triglav, d.d.",savinjska
MESTINJE,Prodaja,Hiša,Samostojna,1989,750.0,170.0,63000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o.",savinjska
MESTINJE,Prodaja,Hiša,Samostojna,1989,750.0,170.0,63000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o.",savinjska
"MESTINJE, PODPLAT",Prodaja,Hiša,Samostojna,1986,1573.0,176.0,79000.0,Zasebna ponudba,savinjska
MIGOJNICE,Prodaja,Hiša,Samostojna,1978,1821.0,600.0,1480000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
MIGOJNICE,Prodaja,Poslovni prostor,Kombiniran prostor,1978,1830.0,980.0,1480000.0,Bajtiga poslovanje z nepremičninami d.o.o.,savinjska
MOZIRJE,Prodaja,Poslovni prostor,Pisarna,2006,,31.5,25200.0,"Janko nepremičnine, Ema Janko s.p.",savinjska
MOZIRJE,Prodaja,Vikend,Lesen,1976,2103.0,42.0,65000.0,"Janko nepremičnine, Ema Janko s.p.",savinjska
MOZIRJE,Prodaja,Stanovanje,trisobno,1975,,64.3,85000.0,"Janko nepremičnine, Ema Janko s.p.",savinjska
MOZIRJE,Prodaja,Stanovanje,štirisobno,2018,,83.1,150000.0,HABIT d.o.o.,savinjska
MOZIRJE,Prodaja,Stanovanje,štirisobno,2018,,93.0,150000.0,HABIT d.o.o.,savinjska
MOZIRJE,Prodaja,Stanovanje,štirisobno,2018,,93.0,150000.0,HABIT d.o.o.,savinjska
MOZIRJE,Prodaja,Stanovanje,štirisobno,2018,,94.0,150000.0,HABIT d.o.o.,savinjska
MOZIRJE,Prodaja,Stanovanje,štirisobno,2018,,94.0,150000.0,HABIT d.o.o.,savinjska
MOZIRJE,Prodaja,Stanovanje,štirisobno,2018,,94.4,150000.0,SGP Graditelj d.d.,savinjska
MOZIRJE,Prodaja,Stanovanje,štirisobno,2017,,96.0,150000.0,"Janko nepremičnine, Ema Janko s.p.",savinjska
MOZIRJE,Prodaja,Stanovanje,štirisobno,2018,,107.5,170000.0,HABIT d.o.o.,savinjska
MOZIRJE,Prodaja,Stanovanje,štirisobno,2018,,107.6,170000.0,HABIT d.o.o.,savinjska
MOZIRJE,Prodaja,Stanovanje,štirisobno,2018,,121.8,180000.0,HABIT d.o.o.,savinjska
MOZIRJE,Prodaja,Stanovanje,štirisobno,2018,,122.1,180000.0,HABIT d.o.o.,savinjska
MOZIRJE,Prodaja,Poslovni prostor,Delavnica,1960,,168.0,130000.0,Agencija Nera d.o.o.,savinjska
MOZIRJE,Prodaja,Hiša,Samostojna,1999,787.0,344.0,435000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
MOZIRJE,Prodaja,Hiša,Samostojna,1878,22000.0,570.0,980000.0,LJUBLJANA NEPREMIČNINE d.o.o.,savinjska
MOZIRJE,Prodaja,Poslovni prostor,Kombiniran prostor,1800,362.0,725.0,320000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
"MOZIRJE, CENTER",Prodaja,Poslovni prostor,Pisarna,1800,,43.2,35000.0,Sberbank banka d.d.,savinjska
"MOZIRJE, CENTER",Prodaja,Poslovni prostor,Pisarna,1800,,49.85,39880.0,Sberbank banka d.d.,savinjska
"MOZIRJE, CENTER",Prodaja,Stanovanje,trisobno,1800,,100.8,99000.0,Sberbank banka d.d.,savinjska
"MOZIRJE, LOKE PRI MOZIRJU",Prodaja,Hiša,Samostojna,1979,1523.0,172.0,280000.0,"Salomon nepremičnine, Anže Nahtigal, s.p.",savinjska
"MOZIRJE, PODROŽNIK",Prodaja,Stanovanje,štirisobno,2019,,93.0,150000.0,"Janko nepremičnine, Ema Janko s.p.",savinjska
"MOZIRJE, PODVRH",Prodaja,Hiša,Samostojna,1983,577.0,255.0,173000.0,"Podjetniško in poslovno svetovanje, Matej Kranjc s.p.",savinjska
"MOZIRJE, PRAPROTNIKOVA ULICA",Prodaja,Stanovanje,trisobno,2018,,56.83,77000.0,Zasebna ponudba,savinjska
"MOZIRJE, SONČNA BREŽINA 300 M IZVEN CENTR",Prodaja,Hiša,Samostojna,1970,575.0,260.0,171000.0,Zasebna ponudba,savinjska
"MOZIRJE, UPRAVNI CENTER",Prodaja,Poslovni prostor,Pisarna,2006,,63.0,42000.0,"Abstract nepremičnine, Igor Kerin s.p.",savinjska
NAZARJE,Prodaja,Stanovanje,štirisobno,1981,,76.2,86600.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
NAZARJE,Prodaja,Hiša,Samostojna,2019,1200.0,182.0,124500.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
"NAZARJE, SPODNJE KRAŠE, UE MOZIRJE",Prodaja,Hiša,Samostojna,2002,303.0,175.0,187500.0,Zasebna ponudba,savinjska
NJIVICE,Prodaja,Hiša,Samostojna,1978,405.0,207.4,186000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
"NJIVICE, PRI BAZENU",Prodaja,Hiša,Samostojna,2017,250.0,270.0,125000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
NOVA CERKEV,Prodaja,Hiša,Samostojna,1965,307.0,153.8,69000.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
"OBREŽJE PRI ZIDANEM MOSTU, ZIDANI MOST",Prodaja,Hiša,Samostojna,1889,369.0,120.0,32000.0,"Oridom nepremičnine, Ivan Orešnik s.p.",savinjska
OGOREVC,Prodaja,Hiša,Drugo,1903,791.0,509.0,300000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
OJSTRIŠKA VAS,Prodaja,Stanovanje,dvosobno,2012,,53.0,58982.0,"Janko nepremičnine, Ema Janko s.p.",savinjska
OJSTRIŠKA VAS,Prodaja,Poslovni prostor,Gostinski lokal,1870,1288.0,444.0,580000.0,"Janko nepremičnine, Ema Janko s.p.",savinjska
OLIMJE,Prodaja,Hiša,Samostojna,1991,30754.0,120.0,125000.0,Zasebna ponudba,savinjska
"OLIMJE, PODČETRTEK - ZDRAVILIŠČE",Prodaja,Hiša,Dvostanovanjska,1995,1683.0,480.0,205000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
"OLIMJE, VAS LIPA",Prodaja,Počitniški objekt,Apartma,1989,,46.8,33000.0,"CIMER, MAKSIMILJAN REMIC s.p.",savinjska
ORLA VAS,Prodaja,Hiša,Vrstna,1985,1895.0,356.1,280000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
ORLA VAS,Prodaja,Hiša,Samostojna,1996,1025.0,450.0,249000.0,Zasebna ponudba,savinjska
"OSENCA, CELJE - ZVODNO",Prodaja,Hiša,Samostojna,1998,1119.0,140.0,155450.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
OTEMNA,Prodaja,Posest,Zazidljiva,2017,,819.0,50.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
"OTEMNA, ŠMARTNO V ROŽNI DOLINI",Prodaja,Posest,Zazidljiva,2018,,819.0,50.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
PADEŠKI VRH,Prodaja,Hiša,Samostojna,1959,888.0,85.0,149000.0,ABC nepremičnine d.o.o.,savinjska
PADEŠKI VRH,Prodaja,Hiša,Samostojna,1960,19898.0,508.0,149000.0,Roni nepremičnine d.o.o.,savinjska
"PAKA - DEL, 57, VITANJE",Prodaja,Vikend,Bivalen,1990,19138.0,180.0,350000.0,"ELO d.o.o., PE Ljubljana",savinjska
"PANEČE, RIMSKE TOPLICE",Prodaja,Hiša,Samostojna,1984,22526.0,119.8,64000.0,KAPITOL posredovanje d.o.o.,savinjska
PARIŽLJE,Prodaja,Hiša,Samostojna,1990,1000.0,241.8,230000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
"PARIŽLJE, 7A",Prodaja,Hiša,Samostojna,1987,1338.0,148.0,162636.36,Sberbank banka d.d.,savinjska
PAŠKI KOZJAK,Prodaja,Hiša,Samostojna,1992,688.0,93.0,98000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
PAŠKI KOZJAK,Prodaja,Vikend,Bivalen,1992,688.0,93.0,98000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
"PEČOVNIK, 3",Prodaja,Hiša,Samostojna,1964,14782.0,80.0,22000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
"PERNOVO, GORCA",Prodaja,Vikend,Bivalen,1980,2400.0,50.0,48000.0,"Hiša znanja, Robert Ašenberger s.p.",savinjska
"PERNOVO, SONČNA LOKACIJA",Prodaja,Hiša,Samostojna,2003,2135.0,146.5,149900.0,"Real-fin posredovanje z nepremičninami d.o.o., PE Celje",savinjska
PETROVČE,Prodaja,Poslovni prostor,Gostinski lokal,1927,,87.0,60000.0,Borza nepremičnin d.o.o.,savinjska
PETROVČE,Prodaja,Hiša,Samostojna,1985,630.0,220.0,179000.0,Zasebna ponudba,savinjska
PETROVČE,Prodaja,Hiša,Samostojna,1996,1168.0,228.0,220000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
PLANINA NA POHORJU,Prodaja,Hiša,Samostojna,2009,1161.0,430.0,470000.0,TA-BU nepremičnine d.o.o.,savinjska
PLANINA PRI SEVNICI,Prodaja,Hiša,Samostojna,1768,2560.0,95.9,30000.0,"NOVDOM Nepremičnine, Aleš Novak s.p.",savinjska
PLANINA PRI SEVNICI,Prodaja,Hiša,Samostojna,1900,598.0,129.0,69000.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
PLANINA PRI SEVNICI,Prodaja,Hiša,Samostojna,1800,4596.0,160.0,90000.0,Novi list d.o.o.,savinjska
PLANINA PRI SEVNICI,Prodaja,Hiša,Samostojna,1963,4019.0,161.9,99000.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
PLANINA PRI SEVNICI,Prodaja,Hiša,Samostojna,1963,600.0,161.9,50000.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
PLANINA PRI SEVNICI,Prodaja,Posest,Zazidljiva,2018,,3500.0,50000.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
"PLANINA PRI SEVNICI, BRDO",Prodaja,Hiša,Samostojna,1938,15242.0,128.0,95000.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
PLETOVARJE,Prodaja,Vikend,Bivalen,1985,1538.0,88.0,48000.0,Zasebna ponudba,savinjska
PODČETRTEK,Prodaja,Počitniški objekt,Apartma,1989,,45.0,51000.0,Posredovanje z nepremičninami in turizem Nigora Jakša s.p.,savinjska
PODČETRTEK,Prodaja,Stanovanje,trisobno,2007,,48.0,63000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
PODČETRTEK,Prodaja,Stanovanje,Drugo,1999,,52.0,129000.0,Hiša nepremičnine 1 d.o.o.,savinjska
PODČETRTEK,Prodaja,Počitniški objekt,Apartma,1999,,55.0,180000.0,Hiša nepremičnine 1 d.o.o.,savinjska
PODČETRTEK,Prodaja,Stanovanje,štirisobno,1977,,76.0,80000.0,Zasebna ponudba,savinjska
PODČETRTEK,Prodaja,Hiša,Samostojna,1974,5536.0,93.4,249120.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
PODČETRTEK,Prodaja,Poslovni prostor,Večji poslovni kompleks,1730,3791.0,415.0,560000.0,Rojal invest d.o.o.,savinjska
"PODČETRTEK, ATOMSKA VAS LIPA",Prodaja,Počitniški objekt,Apartma,2000,,55.0,25000.0,Zasebna ponudba,savinjska
"PODČETRTEK, BLIŽINA TERM OLIMIJE",Prodaja,Hiša,Samostojna,1995,5033.0,560.0,450000.0,"Sprogar nepremičnine d.o.o., PE Maribor",savinjska
"PODČETRTEK, CENTER",Prodaja,Hiša,Samostojna,1900,390.0,396.0,270000.0,"MA - nepremičninska družba, Marko Alič s.p.",savinjska
"PODČETRTEK, IMENSKA GORCA",Prodaja,Hiša,Samostojna,1968,2515.0,78.0,70000.0,Inalbea d.o.o.,savinjska
"PODČETRTEK, IMENSKA GORCA",Prodaja,Vikend,Zidan,2004,4610.0,103.8,95000.0,"Abstract nepremičnine, Igor Kerin s.p.",savinjska
"PODČETRTEK, ODLIČNA LOKACIJA",Prodaja,Hiša,Samostojna,1972,1944.0,651.0,285000.0,SINEP družba za investiranje d.o.o.,savinjska
"PODČETRTEK, ODLIČNA LOKACIJA",Prodaja,Poslovni prostor,Gostinski lokal,1972,1944.0,651.0,285000.0,SINEP družba za investiranje d.o.o.,savinjska
"PODČETRTEK, ODLIČNA LOKACIJA V CENTRU KRAJA",Prodaja,Poslovni prostor,Gostinski lokal,2000,3120.0,1493.7,449000.0,"Geodet Kralj, geodetske storitve in nepremičnine, Janez Kralj s.p.",savinjska
"PODČETRTEK, PODCETRTEK",Prodaja,Stanovanje,dvosobno,2007,1400.0,48.0,63000.0,Zasebna ponudba,savinjska
"PODČETRTEK, ROGINSKA GORCA",Prodaja,Vikend,Zidan,1984,1374.0,18.0,25000.0,Teps PNM d.o.o.,savinjska
"PODČETRTEK, SLAKE 6",Prodaja,Stanovanje,trisobno,1978,,64.0,72500.0,Agencija Nera d.o.o.,savinjska
"PODČETRTEK, SODNA VAS, BLIŽINA AQUALUNE",Prodaja,Hiša,Samostojna,2011,707.0,225.0,125000.0,Afirmacija d.o.o.,savinjska
"PODČETRTEK, SVETA EMA",Prodaja,Vikend,Bivalen,1965,1595.0,33.0,45000.0,Teps PNM d.o.o.,savinjska
"PODČETRTEK, TERME OLIMIA",Prodaja,Počitniški objekt,Apartma,1999,,52.0,129000.0,Hiša nepremičnine 1 d.o.o.,savinjska
"PODČETRTEK, TRŠKA CESTA 81",Prodaja,Hiša,Samostojna,1850,180.0,280.0,50000.0,Zasebna ponudba,savinjska
"PODČETRTEK, VERAČE",Prodaja,Hiša,Samostojna,2015,239.0,150.0,35990.0,"Elektron nepremičnine Vlasta Jeromel s.p., PE Slovenj Gradec",savinjska
PODGORA,Prodaja,Hiša,Samostojna,1954,4337.0,208.0,108000.0,"Hiša znanja, Robert Ašenberger s.p.",savinjska
PODGORJE,Prodaja,Hiša,Samostojna,1975,10414.0,236.0,170000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o.",savinjska
"PODGORJE POD ČERINOM, ČREŠNJICE",Prodaja,Hiša,Samostojna,2010,2100.0,160.0,61000.0,Zasebna ponudba,savinjska
"PODGORJE, VELENJE",Prodaja,Hiša,Samostojna,2011,1047.0,242.1,149000.0,Bremis d.o.o.,savinjska
PODKRAJ PRI VELENJU,Prodaja,Hiša,Samostojna,1968,1905.0,205.0,170000.0,"KRUPIĆ NEPREMIČNINE, d.o.o.",savinjska
PODKRAJ PRI VELENJU,Prodaja,Hiša,Samostojna,1985,1006.0,328.7,199000.0,HABIT d.o.o.,savinjska
PODLOG V SAVINJSKI DOLINI,Prodaja,Hiša,Samostojna,1986,449.0,240.0,155500.0,Zasebna ponudba,savinjska
PODPLAT,Prodaja,Hiša,Samostojna,2000,2200.0,218.0,220000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
"PODPLAT, BOČ, DREVENIK NA BOČU",Prodaja,Hiša,Samostojna,1912,3022.0,64.5,79000.0,"Pravna pisarna SIMEONOV, Bojan Simeonov mag. prav., s.p., Nepremičnine Drava",savinjska
PODSREDA,Prodaja,Hiša,Samostojna,1979,2117.0,190.0,99000.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
PODSREDA,Prodaja,Hiša,Samostojna,1900,3494.0,1615.0,303000.0,Samrok nepremičnine d.o.o.,savinjska
POKLEK PRI PODSREDI,Prodaja,Hiša,Samostojna,1990,1628.0,300.0,310000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
POLANA,Prodaja,Vikend,Bivalen,1989,4372.0,89.0,72000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
POLJANE,Prodaja,Hiša,Samostojna,1977,20816.0,192.0,1000000.0,"Janko nepremičnine, Ema Janko s.p.",savinjska
POLZELA,Prodaja,Stanovanje,dvosobno,2020,,50.24,108099.0,Borza nepremičnin d.o.o.,savinjska
POLZELA,Prodaja,Stanovanje,dvosobno,2020,,53.4,111642.0,Borza nepremičnin d.o.o.,savinjska
POLZELA,Prodaja,Stanovanje,dvosobno,2020,,59.55,117963.0,Borza nepremičnin d.o.o.,savinjska
POLZELA,Prodaja,Hiša,Dvojček,2018,588.0,137.0,109000.0,Borza nepremičnin d.o.o.,savinjska
POLZELA,Prodaja,Hiša,Samostojna,1990,1700.0,149.0,119000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o.",savinjska
POLZELA,Prodaja,Hiša,Samostojna,1960,1176.0,180.0,147000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o.",savinjska
POLZELA,Prodaja,Hiša,Samostojna,1960,609.0,180.0,125000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o.",savinjska
POLZELA,Prodaja,Poslovni prostor,Gostinski lokal,1900,900.0,620.0,282000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
POLZELA,Prodaja,Posest,Zazidljiva,2019,,714.0,58.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
"POLZELA, CVETLIČNA",Prodaja,Poslovni prostor,Skladišče,1978,,2500.0,690000.0,Bajtiga poslovanje z nepremičninami d.o.o.,savinjska
"POLZELA, GLAVNI TRG 49",Prodaja,Stanovanje,enosobno,1966,,34.6,53300.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
"POLZELA, LOČICA OB SAVINJI",Prodaja,Hiša,Samostojna,2007,1493.0,330.0,348000.0,Borza nepremičnin d.o.o.,savinjska
"POLZELA, PODVIN PRI POLZELI",Prodaja,Hiša,Dvostanovanjska,1967,966.0,201.0,148000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o.",savinjska
"PONDOR, VRANSKO",Prodaja,Hiša,Samostojna,1954,3195.0,156.0,79900.0,Agencija Nera d.o.o.,savinjska
PONGRAC,Prodaja,Hiša,Samostojna,1945,45534.0,50.0,75000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o.",savinjska
PONGRAC,Prodaja,Hiša,Samostojna,1945,1000.0,50.0,35000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o.",savinjska
PONGRAC,Prodaja,Hiša,Samostojna,1900,112511.0,86.0,55000.0,APOLONIJ nepremičnine d.o.o.,savinjska
PONGRAC,Prodaja,Hiša,Samostojna,1876,22300.0,150.0,79990.0,"Mojca nepremičnine, Galea Mojca Žižek s.p.",savinjska
PONGRAC,Prodaja,Hiša,Samostojna,2005,1050.0,180.0,128000.0,Zasebna ponudba,savinjska
PONGRAC,Prodaja,Hiša,Samostojna,2002,1190.0,230.0,150000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
PONIKVA,Prodaja,Hiša,Samostojna,1980,452.0,118.8,160000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
POTOK,Prodaja,Vikend,Zidan,1948,506.0,42.0,16000.0,"Janko nepremičnine, Ema Janko s.p.",savinjska
PREBOLD,Prodaja,Stanovanje,Soba,1996,,17.0,23300.0,"Hiša znanja, Robert Ašenberger s.p.",savinjska
PREBOLD,Prodaja,Stanovanje,dvosobno,1900,200.0,58.0,50000.0,Zasebna ponudba,savinjska
PREBOLD,Prodaja,Stanovanje,dvosobno,1967,,60.0,78500.0,Zasebna ponudba,savinjska
PREBOLD,Prodaja,Hiša,Samostojna,2020,617.0,110.0,125000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o.",savinjska
"PREBOLD, CENTER",Prodaja,Poslovni prostor,Prostor za storitve,1996,,17.0,23300.0,"Hiša znanja, Robert Ašenberger s.p.",savinjska
"PREDEL, POKLEK PRI PODSREDI 2",Prodaja,Hiša,Samostojna,1990,150.0,300.0,1100.0,Zasebna ponudba,savinjska
PREKOPA,Prodaja,Hiša,Samostojna,2004,1988.0,108.0,197000.0,Zasebna ponudba,savinjska
"PREKORJE, 5 KM IZ CENTRA CELJA",Prodaja,Hiša,Samostojna,1975,4046.0,658.0,1100000.0,"ENOTA real estate, nepremičninsko posredovanje, Eva Golc, s.p",savinjska
"PRELASKO, PODČETRTEK",Prodaja,Vikend,Zidan,1978,2223.0,60.0,40000.0,Zasebna ponudba,savinjska
PRELOGE PRI ŠMARJU,Prodaja,Vikend,Zidan,1984,766.0,40.0,14000.0,Zasebna ponudba,savinjska
PRELOGE PRI ŠMARJU,Prodaja,Vikend,Zidan,1994,,100.0,30000.0,Zasebna ponudba,savinjska
PRELSKA,Prodaja,Hiša,Samostojna,1997,1887.0,161.0,229000.0,Bremis d.o.o.,savinjska
"PRESERJE, BRASLOVČE",Prodaja,Hiša,Samostojna,1978,1811.0,165.0,155000.0,"Hiša znanja, Robert Ašenberger s.p.",savinjska
PRIMOŽ PRI ŠENTJURJU,Prodaja,Stanovanje,enoinpolsobno,2008,229.0,47.08,60000.0,Zasebna ponudba,savinjska
PRISTAVA,Prodaja,Hiša,Samostojna,2020,600.0,120.7,170000.0,Prvi dom d.o.o.,savinjska
"PRISTAVA PRI MESTINJU, ROGINSKA GORCA",Prodaja,Hiša,Samostojna,1998,2656.0,151.0,89000.0,MPTRG d.o.o.,savinjska
"PRISTAVA PRI MESTINJU, VIDOVICA",Prodaja,Hiša,Samostojna,2010,4000.0,100.0,130000.0,Zasebna ponudba,savinjska
"PRISTAVA, LJUBEČNA - OBČINA VOJNIK",Prodaja,Vikend,Bivalen,1993,1477.0,80.0,180000.0,Zasebna ponudba,savinjska
"PRISTAVA, LJUBEČNA - OBČINA VOJNIK",Prodaja,Hiša,Samostojna,1993,1477.0,80.0,180000.0,Zasebna ponudba,savinjska
PRNEK,Prodaja,Hiša,Samostojna,1992,2691.0,55.0,60000.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
"PRNEK, ROGAŠKA SLATINA",Prodaja,Hiša,Samostojna,1989,1820.0,260.0,350000.0,Rocco nepremičnine d.o.o.,savinjska
PROSENIŠKO,Prodaja,Poslovni prostor,Prostor za storitve,1988,1180.0,181.0,200000.0,KAPITOL posredovanje d.o.o.,savinjska
PROSENIŠKO,Prodaja,Hiša,Samostojna,2016,685.0,220.0,350000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
"PROSENIŠKO, ŠENTJUR",Prodaja,Hiša,Samostojna,2000,7500.0,400.0,398000.0,Zasebna ponudba,savinjska
PROŽINSKA VAS,Prodaja,Stanovanje,trisobno,1987,476.0,216.0,84900.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
PROŽINSKA VAS,Prodaja,Hiša,Samostojna,1976,10000.0,240.0,159000.0,Zasebna ponudba,savinjska
"PUSTIKE, ŠMARJE PRI JELŠAH, ZIBIKA",Prodaja,Hiša,Samostojna,2005,1766.0,88.5,64000.0,"Biro nepremičnin, Darko Fir s.p.",savinjska
PUSTO POLJE,Prodaja,Hiša,Samostojna,1854,1985.0,95.0,100000.0,"Janko nepremičnine, Ema Janko s.p.",savinjska
RADANA VAS,Prodaja,Hiša,Samostojna,1967,4480.0,80.0,46000.0,GEOSTAN Katja Leskovar s.p.,savinjska
RADEČE,Prodaja,Hiša,Dvojček,1870,193.0,61.0,36000.0,MPTRG d.o.o.,savinjska
RADEČE,Prodaja,Stanovanje,dvosobno,1962,,69.6,57000.0,"Oridom nepremičnine, Ivan Orešnik s.p.",savinjska
RADEČE,Prodaja,Poslovni prostor,Pisarna,1972,,76.4,53000.0,"Oridom nepremičnine, Ivan Orešnik s.p.",savinjska
RADEČE,Prodaja,Hiša,Samostojna,2004,31984.0,112.0,189000.0,MEZANIN PRO nepremičnine d.o.o.,savinjska
RADEČE,Prodaja,Hiša,Samostojna,1976,12567.0,112.0,51000.0,"Agenti Celje, AŽ&MB Nerad d.o.o.",savinjska
RADEČE,Prodaja,Hiša,Samostojna,1967,491.0,165.4,56500.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",savinjska
RADEČE,Prodaja,Hiša,Samostojna,1825,714.0,191.8,33000.0,"Oridom nepremičnine, Ivan Orešnik s.p.",savinjska
